invoice_id,vendor_id,vendor_name,employee_id,employee_name,dept_id,dept_name,trx_date,amount,currency,payment_method,description
INV-000057,49,Hickman Ltd,11,Richard Rodriguez,1,Operations,2024-05-22,8797.6,USD,Credit Card,Whole forward beyond suddenly between treat address.
INV-000058,23,Perez Inc,32,Sarah Moore,7,Engineering,2024-02-05,2249.98,USD,ACH,Improve pressure child light.
INV-000059,16,Galloway-Wyatt,33,Kathy Rivas,3,Marketing,2024-12-08,1270.95,USD,Credit Card,Full realize power system system.
INV-000060,50,"Harris, Collins and Carney",49,Sandra Aguilar,6,Marketing,2024-06-08,1600.0,USD,Credit Card,Here first responsibility service their along attention.
INV-000061,38,"Baker, Mason and White",88,Michelle Evans,7,Engineering,2024-11-17,6909.24,USD,Credit Card,Range explain dinner bed within set region beyond.
INV-000062,23,Perez Inc,54,Julia Torres,1,Finance,2024-12-04,5332.13,USD,Wire,Really tough animal someone.
INV-000063,41,Ryan PLC,84,Zachary Ferrell,5,Legal,2024-08-23,8916.83,USD,Check,Grow issue each include radio.
INV-000064,30,"Snyder, Campos and Callahan",12,Daniel Baker,4,Marketing,2024-10-30,4361.39,USD,Check,Color bad that people.
INV-000065,37,Smith-Bowen,63,Megan Young,3,Legal,2024-07-13,6107.21,USD,Wire,Marriage on discussion point least.
INV-000066,22,"Watts, Robinson and Nguyen",11,Kelly Donovan,6,Finance,2024-11-01,96.46,USD,Check,Together let explain.
INV-000067,36,Rodriguez-Graham,3,Gerald Hensley,3,Marketing,2024-12-19,7584.06,USD,Check,Citizen kid generation onto police interesting economic.
INV-000068,45,"Arroyo, Miller and Tucker",55,Joyce Solis,5,Sales,2024-12-05,2440.62,USD,Wire,Current his low down occur.
INV-000069,45,"Arroyo, Miller and Tucker",69,Stephanie Salazar,6,Marketing,2024-06-05,1000.0,USD,ACH,Fast recognize against stop how account ten.
INV-000070,14,"Mcclure, Ward and Lee",37,Connor West,7,Marketing,2024-05-21,7388.66,USD,Wire,Treat seat strategy.
INV-000071,15,Williams and Sons,71,Christopher Bass,6,Marketing,2024-01-13,3615.2,USD,Check,Simply discover soon despite couple.
INV-000072,7,Blake and Sons,7,Michael Evans,7,Finance,2024-10-20,8728.47,USD,Credit Card,Question return process stuff pick.
INV-000073,5,"Guzman, Hoffman and Baldwin",73,Lisa Archer,1,Marketing,2024-02-07,4013.07,USD,Credit Card,Position final kid often run bed far section.
INV-000074,36,Rodriguez-Graham,49,Sierra Johnson,4,Sales,2024-11-06,7646.79,USD,Check,Customer skill theory hand.
INV-000075,20,"Reid, Ferguson and Sanchez",27,Elizabeth Kelley,2,Sales,2024-01-31,5690.61,USD,Credit Card,Tree store either station loss southern second.
INV-000076,11,Blair PLC,61,Christopher Bass,1,Marketing,2024-01-06,2406.25,USD,Wire,Sound life away senior difficult put.
INV-000077,46,Spence PLC,81,Erin Edwards,6,Legal,2024-01-14,2834.36,USD,ACH,Whose source hand so add Mr.
INV-000078,28,"Hoffman, Baker and Richards",10,Richard Aguirre,2,Legal,2024-04-25,1156.62,USD,Wire,Happy see energy herself police he push.
INV-000079,39,Harrell LLC,39,Angel Perry,4,Sales,2024-10-18,7492.09,USD,Check,Agent this no trip determine as statement.
INV-000080,29,"Ross, Robinson and Bright",4,Gerald Hensley,2,Operations,2024-01-21,813.61,USD,Credit Card,Power bring animal also you.
INV-000081,49,Hickman Ltd,67,Daniel Kennedy,4,Sales,2024-05-17,6726.09,USD,ACH,Best thought career law.
INV-000082,38,"Baker, Mason and White",42,Jose Schultz,1,Legal,2024-09-08,4364.49,USD,ACH,Industry score choice increase between majority impact.
INV-000083,22,"Watts, Robinson and Nguyen",71,Shannon Jones,4,Engineering,2024-09-10,4122.33,USD,Wire,Allow have kitchen wear talk.
INV-000084,17,James Group,60,Rebecca Valencia,1,Marketing,2024-07-25,92.6,USD,Wire,Wonder happen top population.
INV-000085,40,"Romero, Gonzalez and Brooks",37,Sharon Cherry,6,Finance,2024-11-16,1400.0,USD,Credit Card,Huge couple business summer.
INV-000086,2,Doyle Ltd,2,Larry Dixon,4,Engineering,2024-11-07,9731.74,USD,ACH,Begin deep police wife anything four writer.
INV-000087,8,"Henderson, Ramirez and Lewis",38,Diana May,6,Sales,2024-03-01,4619.86,USD,Check,Day stop never only spend do similar.
INV-000088,31,Burton Ltd,96,Carol Tucker,7,Engineering,2024-05-04,1000.0,USD,Wire,Able teach certain candidate economy company produce ago.
INV-000089,50,"Harris, Collins and Carney",1,Shirley Suarez,6,Sales,2024-07-31,7902.16,USD,Check,Group small open.
INV-000090,10,Abbott-Munoz,59,Brian Rodriguez,7,Marketing,2024-09-04,4471.01,USD,ACH,Company appear score.
INV-000091,37,Smith-Bowen,50,Rebecca Jackson,7,Legal,2024-01-28,3835.88,USD,ACH,Box as large gun order later develop.
INV-000092,32,Carlson-Cruz,57,Connor West,5,Finance,2024-03-05,9648.6,USD,Credit Card,Analysis situation term miss leader who article look.
INV-000093,47,Anderson Group,80,David Alvarez,4,Operations,2024-12-01,3900.0,USD,Credit Card,International blue Republican kitchen tonight focus.
INV-000094,22,"Watts, Robinson and Nguyen",98,Julia Torres,7,HR,2024-09-30,8524.89,USD,Credit Card,Assume every plan nature.
INV-000095,40,"Romero, Gonzalez and Brooks",12,Marc Moore,1,Legal,2024-11-19,693.52,USD,Credit Card,Herself our far measure involve soldier.
INV-000096,29,"Ross, Robinson and Bright",48,Marc Moore,2,Marketing,2024-06-02,4000.0,USD,Check,Table prepare shoulder result.
INV-000097,37,Smith-Bowen,31,Crystal Johnson,5,Marketing,2024-04-02,4400.0,USD,ACH,Involve thousand including still human.
INV-000098,30,"Snyder, Campos and Callahan",87,Jeffrey Chandler,2,Engineering,2024-08-23,4000.0,USD,Check,Fine fine effort well.
INV-000099,23,Perez Inc,39,Sarah Moore,4,Legal,2024-06-02,9876.64,USD,Check,Attack story behavior benefit school speech news.
INV-000100,7,Blake and Sons,3,Rebecca Jackson,4,Sales,2024-10-19,2379.68,USD,Credit Card,What no prove improve them wait institution trouble.
INV-000101,37,Smith-Bowen,37,Stephanie Manning,7,Marketing,2024-01-26,8652.02,USD,Wire,Why outside goal.
INV-000102,15,Williams and Sons,88,Carol Tucker,6,Engineering,2024-11-13,6369.81,USD,Credit Card,Medical choice lot suggest glass news boy.
INV-000103,20,"Reid, Ferguson and Sanchez",38,Brian Rodriguez,6,Finance,2024-01-18,7888.22,USD,ACH,Off southern suddenly window stand.
INV-000104,13,Arnold Ltd,35,Whitney Peters,3,Legal,2024-10-03,1330.28,USD,Check,Push news participant price really ahead event several.
INV-000105,19,"Adams, Zuniga and Wong",97,Steve Sanchez,7,Operations,2024-06-22,7468.13,USD,Check,Go consider century price attorney scientist.
INV-000106,36,Rodriguez-Graham,87,Paul Jones,5,Finance,2024-01-07,3664.09,USD,Wire,Begin most heavy.
INV-000107,7,Blake and Sons,9,Dustin Jordan,7,Finance,2024-01-21,6751.62,USD,Wire,Game have return since nothing be apply.
INV-000108,42,George Group,13,Kelly Donovan,5,Marketing,2024-01-06,4088.88,USD,Check,Senior anyone bank kitchen.
INV-000109,30,"Snyder, Campos and Callahan",20,Christine Wright,6,Engineering,2024-12-22,3716.41,USD,Check,Magazine kind event sense box involve.
INV-000110,40,"Romero, Gonzalez and Brooks",31,Aaron Wise,1,Operations,2024-01-21,4087.08,USD,Wire,Question or money final determine.
INV-000111,35,"Dyer, Potter and Mack",16,Evelyn Galvan,1,Operations,2024-11-26,9017.95,USD,ACH,Area daughter war should share face build market.
INV-000112,42,George Group,73,Angela Lopez,1,Legal,2024-01-21,6398.53,USD,ACH,Compare herself region matter street south.
INV-000113,38,"Baker, Mason and White",19,Tracy House,5,Sales,2024-04-29,92.06,USD,ACH,However score job least.
INV-000114,8,"Henderson, Ramirez and Lewis",76,Brian Rodriguez,1,Marketing,2024-01-14,6613.97,USD,Wire,Television office of remember.
INV-000115,4,Davis and Sons,100,Aaron Wise,5,HR,2024-08-03,1276.32,USD,Credit Card,Face if whom commercial way least.
INV-000116,29,"Ross, Robinson and Bright",8,Shannon Walker,7,Finance,2024-01-20,5043.35,USD,Check,Because such during open model how.
INV-000117,44,Allen-Allen,9,Tracy House,3,HR,2024-12-30,500.0,USD,Wire,Second develop single baby plan.
INV-000118,25,"Walter, Edwards and Rios",90,Jessica Callahan,7,Operations,2024-09-28,9946.33,USD,ACH,Member town glass road standard spring door.
INV-000119,28,"Hoffman, Baker and Richards",94,Connor West,3,Finance,2024-04-26,4521.03,USD,Wire,Eight community check service.
INV-000120,43,Rodriguez LLC,11,Gerald Hensley,4,Engineering,2024-03-19,2556.35,USD,Wire,Concern significant management senior.
INV-000121,9,Garcia-James,53,Anna Henderson,7,Operations,2024-10-27,5568.14,USD,Check,Large under north play person ten physical character.
INV-000122,47,Anderson Group,28,William Baker,6,Finance,2024-05-27,523.95,USD,ACH,Light place someone option.
INV-000123,7,Blake and Sons,55,Kenneth Scott,7,Legal,2024-10-11,3507.64,USD,Credit Card,Medical financial later arm story baby.
INV-000124,39,Harrell LLC,40,Christina Walters,3,Engineering,2024-12-21,9291.55,USD,ACH,Past medical leg never.
INV-000125,10,Abbott-Munoz,59,Christina Walters,2,Sales,2024-01-06,2700.0,USD,Wire,Last special prepare.
INV-000126,47,Anderson Group,97,Megan Orr,1,Operations,2024-10-17,3250.59,USD,Credit Card,Painting may whatever late specific study.
INV-000127,18,"Flowers, Martin and Kelly",97,Diana May,1,Sales,2024-08-05,4436.7,USD,Check,Mean common easy just.
INV-000128,8,"Henderson, Ramirez and Lewis",29,Sandra Aguilar,5,Engineering,2024-12-13,2839.63,USD,Credit Card,Model particular hair truth hold simple.
INV-000129,14,"Mcclure, Ward and Lee",16,Jessica Holmes,4,Operations,2024-04-18,3021.18,USD,Check,Appear piece free form newspaper hit edge surface.
INV-000130,12,Dudley Group,46,John Daniel,4,Legal,2024-09-29,1300.57,USD,Credit Card,Their four old center glass whose recognize hot.
INV-000131,28,"Hoffman, Baker and Richards",91,Dustin Jordan,4,Sales,2024-02-09,197.23,USD,Credit Card,Remember be next poor foreign campaign reflect water.
INV-000132,26,Wilkerson-Day,89,Aaron Wise,1,Finance,2024-06-15,218.36,USD,Credit Card,Behavior provide meet adult final week game.
INV-000133,16,Galloway-Wyatt,44,Steve Sanchez,3,Legal,2024-07-24,4362.41,USD,ACH,Court yourself choice fast small medical music.
INV-000134,5,"Guzman, Hoffman and Baldwin",45,Christopher Rubio,7,Operations,2024-02-28,5109.73,USD,ACH,Also from short capital heavy class story.
INV-000135,16,Galloway-Wyatt,84,John Daniel,2,Legal,2024-05-11,1037.02,USD,Check,Speak close join improve put down know expect.
INV-000136,30,"Snyder, Campos and Callahan",82,Megan Orr,3,Legal,2024-10-23,7546.91,USD,Wire,Doctor dream whole six tough create question.
INV-000137,10,Abbott-Munoz,8,Anna Henderson,5,Engineering,2024-08-28,4403.23,USD,Wire,Worker left example high month whom stage.
INV-000138,30,"Snyder, Campos and Callahan",12,Cameron Fisher,5,HR,2024-01-30,4524.62,USD,Check,Catch economic political them never bill suffer surface.
INV-000139,30,"Snyder, Campos and Callahan",42,Jason Powell,4,HR,2024-01-22,5807.49,USD,ACH,Base civil last message store.
INV-000140,4,Davis and Sons,57,Ashley Waller,5,HR,2024-06-24,84.67,USD,ACH,Watch develop later glass.
INV-000141,24,Morales-Jones,7,Elizabeth Kelley,6,Sales,2024-05-24,3734.79,USD,Credit Card,Increase how hear.
INV-000142,22,"Watts, Robinson and Nguyen",78,William Baker,3,Engineering,2024-12-13,954.11,USD,ACH,Yes heart agreement us stuff practice.
INV-000143,23,Perez Inc,11,Aimee Montoya,5,Finance,2024-12-01,3109.22,USD,Wire,Case expert stop receive.
INV-000144,9,Garcia-James,3,Aaron Wise,3,Marketing,2024-12-16,3400.0,USD,ACH,Serve light past town.
INV-000145,22,"Watts, Robinson and Nguyen",38,Connor West,5,Legal,2024-09-05,9477.21,USD,Credit Card,Eight strong nature.
INV-000146,43,Rodriguez LLC,89,Kathy Rivas,5,Legal,2024-11-12,3374.28,USD,ACH,Month book explain feeling answer information soldier lead.
INV-000147,47,Anderson Group,79,Shirley Suarez,7,Operations,2024-07-29,4382.36,USD,Check,Student matter movie place.
INV-000148,15,Williams and Sons,25,Deborah Figueroa,6,HR,2024-06-07,5344.77,USD,Check,Drop century investment pass drive indicate professor.
INV-000149,30,"Snyder, Campos and Callahan",26,Jason Powell,2,Legal,2024-07-14,7696.69,USD,Wire,Model guess well name.
INV-000150,4,Davis and Sons,37,Victoria Garcia,7,Marketing,2024-07-09,4200.0,USD,Wire,Never hospital like player wonder effect administration.
INV-000151,29,"Ross, Robinson and Bright",45,Mark Perez,4,Engineering,2024-03-16,4600.0,USD,Check,General run pick sign.
INV-000152,33,"Ferrell, Rice and Maddox",92,Daniel Kennedy,3,Legal,2024-07-16,95.61,USD,ACH,Card good full poor store range.
INV-000153,9,Garcia-James,1,Victoria Garcia,1,Sales,2024-08-29,3600.0,USD,ACH,Place specific as simply leader fall analysis.
INV-000154,10,Abbott-Munoz,7,Kelly Donovan,4,Operations,2024-11-07,1500.0,USD,Check,Though firm financial huge spring.
INV-000155,5,"Guzman, Hoffman and Baldwin",19,Christopher Bass,4,Engineering,2024-09-12,2600.0,USD,Wire,Education send course ground sit tend forward.
INV-000156,16,Galloway-Wyatt,68,Jeffrey Chandler,5,Legal,2024-04-05,4900.0,USD,Credit Card,Son join hundred keep.
INV-000157,25,"Walter, Edwards and Rios",3,Anna Henderson,7,Engineering,2024-01-23,8734.58,USD,Wire,Fund cost reality happen something entire.
INV-000158,16,Galloway-Wyatt,18,Michael Lewis,3,HR,2024-11-17,7332.08,USD,Wire,Risk bad own state.
INV-000159,42,George Group,18,Brent Jordan,6,Legal,2024-12-16,1759.14,USD,Check,Family bill foreign fast knowledge response coach.
INV-000160,3,"Mcclain, Miller and Henderson",40,Diana May,4,Legal,2024-01-23,2941.49,USD,Check,Goal amount thank good your ever.
INV-000161,17,James Group,84,Denise Jacobs,3,Engineering,2024-11-27,375.84,USD,Wire,Avoid point guy song.
INV-000162,28,"Hoffman, Baker and Richards",64,David Alvarez,4,Sales,2024-08-13,8895.97,USD,Wire,Well central parent sit.
INV-000163,6,"Gardner, Robinson and Lawrence",38,Brian Rodriguez,1,Engineering,2024-02-10,7273.54,USD,Wire,Call door population.
INV-000164,43,Rodriguez LLC,45,Sierra Johnson,1,Operations,2024-08-16,2963.44,USD,Wire,Him note painting quickly we head.
INV-000165,40,"Romero, Gonzalez and Brooks",86,Dustin Jordan,4,Sales,2024-05-20,9981.52,USD,ACH,Off morning huge power.
INV-000166,2,Doyle Ltd,31,Stephanie Manning,6,Sales,2024-11-07,1436.37,USD,Wire,Whether ago control military trial.
INV-000167,25,"Walter, Edwards and Rios",48,Sharon Cherry,7,Engineering,2024-01-17,9495.18,USD,ACH,Energy employee land you.
INV-000168,34,Frazier Inc,95,Lauren Daniels,4,HR,2024-06-09,3675.83,USD,Check,Really your customer career available.
INV-000169,36,Rodriguez-Graham,89,Julia Torres,2,Engineering,2024-05-13,1186.43,USD,ACH,Together knowledge because radio.
INV-000170,5,"Guzman, Hoffman and Baldwin",41,Jose Schultz,3,Operations,2024-12-31,3400.0,USD,Credit Card,Property remember nearly face feel church.
INV-000171,36,Rodriguez-Graham,82,Brittney Phillips,7,Sales,2024-06-02,5426.29,USD,ACH,Soldier meeting building cut.
INV-000172,8,"Henderson, Ramirez and Lewis",74,Deborah Figueroa,4,Legal,2024-03-12,9851.47,USD,ACH,Door management guess occur.
INV-000173,40,"Romero, Gonzalez and Brooks",68,Rebecca Valencia,7,Finance,2024-02-03,8843.62,USD,Credit Card,Sound necessary partner beat finally yourself rest.
INV-000174,9,Garcia-James,100,Larry Dixon,6,HR,2024-01-28,9724.07,USD,ACH,Improve important offer by first avoid letter.
INV-000175,50,"Harris, Collins and Carney",67,William Baker,3,Marketing,2024-08-09,9662.98,USD,ACH,General there sister policy consider whom item.
INV-000176,21,Gray-Mayo,11,Michael Evans,2,Operations,2024-04-25,9348.03,USD,Wire,Story million fight class.
INV-000177,9,Garcia-James,75,William Baker,2,Operations,2024-11-10,6253.97,USD,Wire,Generation wait thus suffer economy.
INV-000178,37,Smith-Bowen,54,Megan Orr,6,Engineering,2024-01-20,421.53,USD,Check,Ever person pass behavior political option oil.
INV-000179,41,Ryan PLC,88,Cameron Parker,3,Finance,2024-11-24,5460.32,USD,Credit Card,Probably result painting successful.
INV-000180,45,"Arroyo, Miller and Tucker",19,Matthew Mcmillan,7,Operations,2024-08-13,608.53,USD,Wire,American tell ball we side enough decision.
INV-000181,47,Anderson Group,41,Kelly Donovan,4,Engineering,2024-06-25,1900.0,USD,Wire,Indicate police marriage phone face what lot.
INV-000182,29,"Ross, Robinson and Bright",21,Brian Rodriguez,5,Operations,2024-01-27,2486.71,USD,Wire,Father authority art keep machine daughter.
INV-000183,13,Arnold Ltd,64,Crystal Robinson,1,Finance,2024-09-12,7633.58,USD,Check,Century technology floor write generation human set middle.
INV-000184,16,Galloway-Wyatt,84,Robert Potter,4,Sales,2024-01-20,2159.29,USD,Credit Card,Five letter environment easy.
INV-000185,7,Blake and Sons,52,Timothy Duncan,5,HR,2024-05-15,4314.97,USD,ACH,Anything war ten industry.
INV-000186,24,Morales-Jones,80,Courtney Gonzalez,5,Engineering,2024-02-07,5536.7,USD,ACH,Spend value return couple.
INV-000187,7,Blake and Sons,78,Diana May,4,HR,2024-06-22,3945.1,USD,Credit Card,Marriage method material final.
INV-000188,3,"Mcclain, Miller and Henderson",78,Diana May,2,Sales,2024-12-31,398.75,USD,Wire,Bed hotel lead.
INV-000189,11,Blair PLC,66,Victor Baker,4,Operations,2024-11-11,3935.62,USD,Wire,Democrat good anything manager think.
INV-000190,31,Burton Ltd,93,David Alvarez,6,Engineering,2024-07-07,2100.0,USD,Check,Experience account blue care enough hand idea.
INV-000191,17,James Group,22,Ashley Waller,6,Operations,2024-10-23,9671.04,USD,Check,Hundred now crime.
INV-000192,10,Abbott-Munoz,54,William Baker,4,Operations,2024-01-07,8218.4,USD,ACH,Eye hit late near stay perhaps particularly.
INV-000193,27,Baker and Sons,8,Cheyenne Horton,2,HR,2024-11-09,5023.18,USD,ACH,Window hour some fund.
INV-000194,36,Rodriguez-Graham,59,Victor Baker,3,HR,2024-12-05,3257.24,USD,Wire,Sense current meeting matter and case.
INV-000195,44,Allen-Allen,25,Mike Allen,3,HR,2024-12-14,7722.18,USD,Wire,Sound mind chance throw cause use.
INV-000196,15,Williams and Sons,63,Matthew Mcmillan,4,Sales,2024-06-01,9415.44,USD,Wire,Class wrong school federal from stock.
INV-000197,19,"Adams, Zuniga and Wong",45,Kathy Rivas,7,Marketing,2024-12-12,1227.52,USD,Wire,Majority none little admit former body indicate.
INV-000198,3,"Mcclain, Miller and Henderson",28,Sarah Moore,7,HR,2024-01-28,2883.43,USD,Wire,Someone rise read ago listen.
INV-000199,36,Rodriguez-Graham,7,Jose Schultz,5,Marketing,2024-03-11,6964.75,USD,ACH,Officer return on color pick people subject challenge.
INV-000200,4,Davis and Sons,21,Rebecca Valencia,6,Finance,2024-06-18,76.97,USD,Check,All way body affect finish.
INV-000201,42,George Group,12,Daniel Kennedy,5,Marketing,2024-05-27,2002.57,USD,Credit Card,Include data maybe particularly.
INV-000202,12,Dudley Group,24,Joyce Solis,7,Sales,2024-03-31,4200.0,USD,Credit Card,Their save artist catch debate foot production.
INV-000203,1,"Rodriguez, Figueroa and Sanchez",83,Jeffrey Chandler,5,Finance,2024-11-04,2990.94,USD,ACH,Heavy what least mouth national put test.
INV-000204,33,"Ferrell, Rice and Maddox",83,Michael Evans,6,Marketing,2024-04-08,4685.53,USD,Credit Card,Particular court east newspaper different.
INV-000205,48,"Martin, Rose and Obrien",82,Cameron Parker,7,Finance,2024-05-31,3377.75,USD,Wire,Side relate real major look.
INV-000206,6,"Gardner, Robinson and Lawrence",34,Stephen Mckee,2,Finance,2024-02-18,1700.0,USD,Wire,Value somebody event business quality here woman.
